Site,basin,file_zc,Date,Night,Time,DateTimeOriginal,Type,DR,Y,M,D,H,M,S,uS,Datum,Lat,Long,Zon,Easting,Northing,Elev,Sp_final,season,Species,Note,ID
CTB-0713,CTB,PBM-CTB-713A_0_20160718_235919_000.zc,2016-07-18,2016-07-18,23:59:19,2016-07-18 23:59,132,8,2016,7,18,23,59,19,0,NAD83,NA,NA,10U,5452778,604011,1251,MYLU,2,"mMYLU,fLABO","CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_000123_000.zc,2016-07-19,2016-07-18,0:01:23,2016-07-19 0:01,132,8,2016,7,19,0,1,23,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_000203_000.zc,2016-07-19,2016-07-18,0:02:03,2016-07-19 0:02,132,8,2016,7,19,0,2,3,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_000223_000.zc,2016-07-19,2016-07-18,0:02:23,2016-07-19 0:02,132,8,2016,7,19,0,2,23,0,NAD83,NA,NA,10U,5452778,604011,1251,MYLU,2,"mMYLU,fLABO","CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_002359_000.zc,2016-07-19,2016-07-18,0:23:59,2016-07-19 0:23,132,8,2016,7,19,0,23,59,0,NAD83,NA,NA,10U,5452778,604011,1251,30K,2,30K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_002710_000.zc,2016-07-19,2016-07-18,0:27:10,2016-07-19 0:27,132,8,2016,7,19,0,27,10,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_002717_000.zc,2016-07-19,2016-07-18,0:27:17,2016-07-19 0:27,132,8,2016,7,19,0,27,17,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_012139_000.zc,2016-07-19,2016-07-18,1:21:39,2016-07-19 1:21,132,8,2016,7,19,1,21,39,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_012149_000.zc,2016-07-19,2016-07-18,1:21:49,2016-07-19 1:21,132,8,2016,7,19,1,21,49,0,NAD83,NA,NA,10U,5452778,604011,1251,40K,2,40K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_015107_000.zc,2016-07-19,2016-07-18,1:51:07,2016-07-19 1:51,132,8,2016,7,19,1,51,7,0,NAD83,NA,NA,10U,5452778,604011,1251,40K,2,40K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_020336_000.zc,2016-07-19,2016-07-18,2:03:36,2016-07-19 2:03,132,8,2016,7,19,2,3,36,0,NAD83,NA,NA,10U,5452778,604011,1251,40K,2,40K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_022213_000.zc,2016-07-19,2016-07-18,2:22:13,2016-07-19 2:22,132,8,2016,7,19,2,22,13,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,35K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_051626_000.zc,2016-07-19,2016-07-18,5:16:26,2016-07-19 5:16,132,8,2016,7,19,5,16,26,0,NAD83,NA,NA,10U,5452778,604011,1251,NOISE,2,noise,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_052029_000.zc,2016-07-19,2016-07-18,5:20:29,2016-07-19 5:20,132,8,2016,7,19,5,20,29,0,NAD83,NA,NA,10U,5452778,604011,1251,NOISE,2,noise,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_222516_000.zc,2016-07-19,2016-07-19,22:25:16,2016-07-19 22:25,132,8,2016,7,19,22,25,16,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,"35K,fMYLU","CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160719_231355_000.zc,2016-07-19,2016-07-19,23:13:55,2016-07-19 23:13,132,8,2016,7,19,23,13,55,0,NAD83,NA,NA,10U,5452778,604011,1251,40K,2,40K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
